test_case,graph_name,error_rate,algo,ec,n,m_init,m_updates,prediction_accuracy,case1_count,case2_count,online_total_us,online_avg_us_per_update,classical_total_us,classical_avg_us_per_update,speedup_vs_classical
graph_synthetic_mode_fullydynamic_strategy_prefix_err0.30_case00_m200,synthetic,0.3000,fullydynamic,ec,500,1983,200,0.0650,13,187,13802.0980,69.0105,64.1580,0.3208,0.0046
graph_synthetic_mode_fullydynamic_strategy_prefix_err0.30_case01_m200,synthetic,0.3000,fullydynamic,noec,500,1983,200,0.3550,71,129,16424.7640,82.1238,96.5110,0.4826,0.0059
graph_synthetic_mode_fullydynamic_strategy_prefix_err0.30_case01_m200,synthetic,0.3000,fullydynamic,ec,500,1983,200,0.3550,71,129,9524.1860,47.6209,95.8920,0.4795,0.0101
graph_synthetic_mode_fullydynamic_strategy_prefix_err0.30_case02_m200,synthetic,0.3000,fullydynamic,noec,500,1983,200,0.7000,140,60,3416.8120,17.0841,137.2110,0.6861,0.0402
graph_synthetic_mode_fullydynamic_strategy_prefix_err0.30_case02_m200,synthetic,0.3000,fullydynamic,ec,500,1983,200,0.7000,140,60,4407.1900,22.0360,89.8980,0.4495,0.0204
graph_synthetic_mode_fullydynamic_strategy_prefix_err0.30_case03_m200,synthetic,0.3000,fullydynamic,noec,500,1983,200,0.7000,140,60,4160.0640,20.8003,77.3740,0.3869,0.0186
graph_synthetic_mode_fullydynamic_strategy_prefix_err0.30_case03_m200,synthetic,0.3000,fullydynamic,ec,500,1983,200,0.7000,140,60,4633.0470,23.1652,82.1810,0.4109,0.0177
graph_synthetic_mode_fullydynamic_strategy_prefix_err0.50_case00_m200,synthetic,0.5000,fullydynamic,noec,500,1983,200,0.0700,14,186,20810.2610,104.0513,84.9970,0.4250,0.0041
graph_synthetic_mode_fullydynamic_strategy_prefix_err0.50_case00_m200,synthetic,0.5000,fullydynamic,ec,500,1983,200,0.0700,14,186,15340.8070,76.7040,83.7050,0.4185,0.0055
graph_synthetic_mode_fullydynamic_strategy_prefix_err0.50_case01_m200,synthetic,0.5000,fullydynamic,noec,500,1983,200,0.2900,58,142,13500.0070,67.5000,100.0210,0.5001,0.0074
graph_synthetic_mode_fullydynamic_strategy_prefix_err0.50_case01_m200,synthetic,0.5000,fullydynamic,ec,500,1983,200,0.2900,58,142,15965.4230,79.8271,140.7200,0.7036,0.0088
graph_synthetic_mode_fullydynamic_strategy_prefix_err0.50_case02_m200,synthetic,0.5000,fullydynamic,noec,500,1983,200,0.0950,19,181,23834.6420,119.1732,120.9340,0.6047,0.0051
graph_synthetic_mode_fullydynamic_strategy_prefix_err0.50_case02_m200,synthetic,0.5000,fullydynamic,ec,500,1983,200,0.0950,19,181,15840.5950,79.2030,134.2480,0.6712,0.0085
graph_synthetic_mode_fullydynamic_strategy_prefix_err0.50_case03_m200,synthetic,0.5000,fullydynamic,noec,500,1983,200,0.4300,86,114,11353.6220,56.7681,67.2860,0.3364,0.0059
graph_synthetic_mode_fullydynamic_strategy_prefix_err0.50_case03_m200,synthetic,0.5000,fullydynamic,ec,500,1983,200,0.4300,86,114,8766.1560,43.8308,67.2440,0.3362,0.0077
graph_synthetic_mode_fullydynamic_strategy_prefix_err0.70_case00_m200,synthetic,0.7000,fullydynamic,noec,500,1983,200,0.1950,39,161,14061.8670,70.3093,67.8510,0.3393,0.0048
graph_synthetic_mode_fullydynamic_strategy_prefix_err0.70_case00_m200,synthetic,0.7000,fullydynamic,ec,500,1983,200,0.1950,39,161,16018.2400,80.0912,67.9830,0.3399,0.0042
graph_synthetic_mode_fullydynamic_strategy_prefix_err0.70_case01_m200,synthetic,0.7000,fullydynamic,noec,500,1983,200,0.3000,60,140,9342.7660,46.7138,76.5100,0.3826,0.0082
graph_synthetic_mode_fullydynamic_strategy_prefix_err0.70_case01_m200,synthetic,0.7000,fullydynamic,ec,500,1983,200,0.3000,60,140,11314.6240,56.5731,69.4520,0.3473,0.0061
graph_synthetic_mode_fullydynamic_strategy_prefix_err0.70_case02_m200,synthetic,0.7000,fullydynamic,noec,500,1983,200,0.1200,24,176,12946.7820,64.7339,55.5080,0.2775,0.0043
graph_synthetic_mode_fullydynamic_strategy_prefix_err0.70_case02_m200,synthetic,0.7000,fullydynamic,ec,500,1983,200,0.1200,24,176,15552.7460,77.7637,50.6740,0.2534,0.0033
graph_synthetic_mode_fullydynamic_strategy_prefix_err0.70_case03_m200,synthetic,0.7000,fullydynamic,noec,500,1983,200,0.3000,60,140,10017.1980,50.0860,95.5980,0.4780,0.0095
graph_synthetic_mode_fullydynamic_strategy_prefix_err0.70_case03_m200,synthetic,0.7000,fullydynamic,ec,500,1983,200,0.3000,60,140,12996.5070,64.9825,87.0650,0.4353,0.0067
graph_synthetic_mode_fullydynamic_strategy_prefix_err1.00_case00_m200,synthetic,1.0000,fullydynamic,noec,500,1983,200,0.0000,0,200,27200.7150,136.0036,98.5500,0.4927,0.0036
graph_synthetic_mode_fullydynamic_strategy_prefix_err1.00_case00_m200,synthetic,1.0000,fullydynamic,ec,500,1983,200,0.0000,0,200,28691.4560,143.4573,96.5710,0.4829,0.0034
graph_synthetic_mode_fullydynamic_strategy_prefix_err1.00_case01_m200,synthetic,1.0000,fullydynamic,noec,500,1983,200,0.0000,0,200,21864.8020,109.3240,78.2590,0.3913,0.0036
graph_synthetic_mode_fullydynamic_strategy_prefix_err1.00_case01_m200,synthetic,1.0000,fullydynamic,ec,500,1983,200,0.0000,0,200,23754.8450,118.7742,103.2140,0.5161,0.0043
graph_synthetic_mode_fullydynamic_strategy_prefix_err1.00_case02_m200,synthetic,1.0000,fullydynamic,noec,500,1983,200,0.0000,0,200,15489.6460,77.4482,79.3110,0.3966,0.0051
graph_synthetic_mode_fullydynamic_strategy_prefix_err1.00_case02_m200,synthetic,1.0000,fullydynamic,ec,500,1983,200,0.0000,0,200,18271.0480,91.3552,78.1590,0.3908,0.0043
graph_synthetic_mode_fullydynamic_strategy_prefix_err1.00_case03_m200,synthetic,1.0000,fullydynamic,noec,500,1983,200,0.0000,0,200,22243.9240,111.2196,67.9260,0.3396,0.0031
graph_synthetic_mode_fullydynamic_strategy_prefix_err1.00_case03_m200,synthetic,1.0000,fullydynamic,ec,500,1983,200,0.0000,0,200,27859.0200,139.2951,96.2340,0.4812,0.0035
graph_synthetic_mode_incremental_strategy_prefix_err0.00_case00_m200,synthetic,0.0000,incremental,noec,500,1983,200,1.0000,200,0,8.8360,0.0442,28.5810,0.1429,3.2346
graph_synthetic_mode_incremental_strategy_prefix_err0.00_case00_m200,synthetic,0.0000,incremental,ec,500,1983,200,1.0000,200,0,8.7530,0.0438,36.9400,0.1847,4.2203
graph_synthetic_mode_incremental_strategy_prefix_err0.00_case01_m200,synthetic,0.0000,incremental,noec,500,1983,200,1.0000,200,0,9.2430,0.0462,33.4930,0.1675,3.6236
graph_synthetic_mode_incremental_strategy_prefix_err0.00_case01_m200,synthetic,0.0000,incremental,ec,500,1983,200,1.0000,200,0,9.0570,0.0453,22.2470,0.1112,2.4563
graph_synthetic_mode_incremental_strategy_prefix_err0.00_case02_m200,synthetic,0.0000,incremental,noec,500,1983,200,1.0000,200,0,8.6800,0.0434,22.5250,0.1126,2.5950
graph_synthetic_mode_incremental_strategy_prefix_err0.00_case02_m200,synthetic,0.0000,incremental,ec,500,1983,200,1.0000,200,0,9.6690,0.0483,22.7590,0.1138,2.3538
graph_synthetic_mode_incremental_strategy_prefix_err0.00_case03_m200,synthetic,0.0000,incremental,noec,500,1983,200,1.0000,200,0,8.6880,0.0434,23.6520,0.1183,2.7224
graph_synthetic_mode_incremental_strategy_prefix_err0.00_case03_m200,synthetic,0.0000,incremental,ec,500,1983,200,1.0000,200,0,8.3710,0.0419,25.3610,0.1268,3.0296
graph_synthetic_mode_incremental_strategy_prefix_err0.05_case00_m200,synthetic,0.0500,incremental,noec,500,1983,200,0.4900,98,102,360.6430,1.8032,28.0620,0.1403,0.0778
graph_synthetic_mode_incremental_strategy_prefix_err0.05_case00_m200,synthetic,0.0500,incremental,ec,500,1983,200,0.4900,98,102,600.6980,3.0035,25.5380,0.1277,0.0425
graph_synthetic_mode_incremental_strategy_prefix_err0.05_case01_m200,synthetic,0.0500,incremental,noec,500,1983,200,0.9500,190,10,28.1850,0.1409,22.1800,0.1109,0.7869
graph_synthetic_mode_incremental_strategy_prefix_err0.05_case01_m200,synthetic,0.0500,incremental,ec,500,1983,200,0.9500,190,10,31.2880,0.1564,21.4410,0.1072,0.6853
graph_synthetic_mode_incremental_strategy_prefix_err0.05_case02_m200,synthetic,0.0500,incremental,noec,500,1983,200,0.9300,186,14,33.4810,0.1674,29.4960,0.1475,0.8810
graph_synthetic_mode_incremental_strategy_prefix_err0.05_case02_m200,synthetic,0.0500,incremental,ec,500,1983,200,0.9300,186,14,40.2310,0.2012,40.5440,0.2027,1.0078
graph_synthetic_mode_incremental_strategy_prefix_err0.05_case03_m200,synthetic,0.0500,incremental,noec,500,1983,200,0.9500,190,10,30.6450,0.1532,38.6210,0.1931,1.2603
graph_synthetic_mode_incremental_strategy_prefix_err0.05_case03_m200,synthetic,0.0500,incremental,ec,500,1983,200,0.9500,190,10,40.9840,0.2049,23.1410,0.1157,0.5646
graph_synthetic_mode_incremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,incremental,noec,500,1983,200,0.7150,143,57,213.4450,1.0672,24.6020,0.1230,0.1153
graph_synthetic_mode_incremental_strategy_prefix_err0.10_case00_m200,synthetic,0.1000,incremental,ec,500,1983,200,0.7150,143,57,225.9850,1.1299,39.6590,0.1983,0.1755
graph_synthetic_mode_incremental_strategy_prefix_err0.10_case01_m200,synthetic,0.1000,incremental,noec,500,1983,200,0.3450,69,131,535.3860,2.6769,21.4730,0.1074,0.0401
graph_synthetic_mode_incremental_strategy_prefix_err0.10_case01_m200,synthetic,0.1000,incremental,ec,500,1983,200,0.3450,69,131,973.2120,4.8661,22.9550,0.1148,0.0236
graph_synthetic_mode_incremental_strategy_prefix_err0.10_case02_m200,synthetic,0.1000,incremental,noec,500,1983,200,0.9000,180,20,54.7150,0.2736,27.2900,0.1365,0.4988
graph_synthetic_mode_incremental_strategy_prefix_err0.10_case02_m200,synthetic,0.1000,incremental,ec,500,1983,200,0.9000,180,20,67.3690,0.3368,26.7070,0.1335,0.3964
graph_synthetic_mode_incremental_strategy_prefix_err0.10_case03_m200,synthetic,0.1000,incremental,noec,500,1983,200,0.9000,180,20,41.2190,0.2061,27.7860,0.1389,0.6741
graph_synthetic_mode_incremental_strategy_prefix_err0.10_case03_m200,synthetic,0.1000,incremental,ec,500,1983,200,0.9000,180,20,82.5070,0.4125,42.6150,0.2131,0.5165
graph_synthetic_mode_incremental_strategy_prefix_err0.15_case00_m200,synthetic,0.1500,incremental,noec,500,1983,200,0.4700,94,106,380.7540,1.9038,22.0430,0.1102,0.0579
graph_synthetic_mode_incremental_strategy_prefix_err0.15_case00_m200,synthetic,0.1500,incremental,ec,500,1983,200,0.4700,94,106,669.3800,3.3469,21.7700,0.1089,0.0325
graph_synthetic_mode_incremental_strategy_prefix_err0.15_case01_m200,synthetic,0.1500,incremental,noec,500,1983,200,0.2350,47,153,891.7490,4.4587,22.7090,0.1135,0.0255
graph_synthetic_mode_incremental_strategy_prefix_err0.15_case01_m200,synthetic,0.1500,incremental,ec,500,1983,200,0.2350,47,153,1294.7870,6.4739,19.9540,0.0998,0.0154
graph_synthetic_mode_incremental_strategy_prefix_err0.15_case02_m200,synthetic,0.1500,incremental,noec,500,1983,200,0.8500,170,30,64.7690,0.3238,44.8110,0.2241,0.6919
