test_case,graph_name,error_rate,algo,n,m_init,m_updates,prediction_accuracy,case1_count,case2_count,online_total_us,online_avg_us_per_update,classical_total_us,classical_avg_us_per_update,speedup_vs_classical
graph_synthetic_mode_decremental_strategy_prefix_err0.15_case01_m200,synthetic,0.1500,decremental,500,1983,200,0.0150,3,197,33128.6530,165.6433,173.0820,0.8654,0.0052
graph_synthetic_mode_decremental_strategy_prefix_err0.15_case02_m200,synthetic,0.1500,decremental,500,1983,200,0.8500,170,30,1326.4230,6.6321,207.4290,1.0371,0.1564
graph_synthetic_mode_decremental_strategy_prefix_err0.15_case03_m200,synthetic,0.1500,decremental,500,1983,200,0.1000,20,180,32182.5580,160.9128,247.6150,1.2381,0.0077
graph_synthetic_mode_decremental_strategy_prefix_err0.20_case00_m200,synthetic,0.2000,decremental,500,1983,200,0.4350,87,113,18623.3150,93.1166,310.3120,1.5516,0.0167
graph_synthetic_mode_decremental_strategy_prefix_err0.20_case01_m200,synthetic,0.2000,decremental,500,1983,200,0.3700,74,126,34359.9340,171.7997,202.9010,1.0145,0.0059
graph_synthetic_mode_decremental_strategy_prefix_err0.20_case02_m200,synthetic,0.2000,decremental,500,1983,200,0.5200,104,96,12092.0920,60.4605,186.4590,0.9323,0.0154
graph_synthetic_mode_decremental_strategy_prefix_err0.20_case03_m200,synthetic,0.2000,decremental,500,1983,200,0.8000,160,40,2901.4030,14.5070,113.4190,0.5671,0.0391
graph_synthetic_mode_decremental_strategy_prefix_err0.30_case00_m200,synthetic,0.3000,decremental,500,1983,200,0.7000,140,60,2378.8390,11.8942,191.6410,0.9582,0.0806
graph_synthetic_mode_decremental_strategy_prefix_err0.30_case01_m200,synthetic,0.3000,decremental,500,1983,200,0.7000,140,60,3962.9770,19.8149,301.0340,1.5052,0.0760
graph_synthetic_mode_decremental_strategy_prefix_err0.30_case02_m200,synthetic,0.3000,decremental,500,1983,200,0.5100,102,98,10046.6550,50.2333,143.3650,0.7168,0.0143
graph_synthetic_mode_decremental_strategy_prefix_err0.30_case03_m200,synthetic,0.3000,decremental,500,1983,200,0.7000,140,60,5348.6600,26.7433,225.1730,1.1259,0.0421
graph_synthetic_mode_decremental_strategy_prefix_err0.50_case00_m200,synthetic,0.5000,decremental,500,1983,200,0.2000,40,160,39162.3180,195.8116,235.0920,1.1755,0.0060
graph_synthetic_mode_decremental_strategy_prefix_err0.50_case01_m200,synthetic,0.5000,decremental,500,1983,200,0.0850,17,183,16699.4310,83.4972,146.6640,0.7333,0.0088
graph_synthetic_mode_decremental_strategy_prefix_err0.50_case02_m200,synthetic,0.5000,decremental,500,1983,200,0.1350,27,173,16938.3300,84.6917,132.5570,0.6628,0.0078
graph_synthetic_mode_decremental_strategy_prefix_err0.50_case03_m200,synthetic,0.5000,decremental,500,1983,200,0.0800,16,184,41583.0720,207.9154,235.9060,1.1795,0.0057
graph_synthetic_mode_decremental_strategy_prefix_err0.70_case00_m200,synthetic,0.7000,decremental,500,1983,200,0.0050,1,199,26306.5780,131.5329,143.9200,0.7196,0.0055
graph_synthetic_mode_decremental_strategy_prefix_err0.70_case01_m200,synthetic,0.7000,decremental,500,1983,200,0.0500,10,190,37121.3130,185.6066,201.2150,1.0061,0.0054
graph_synthetic_mode_decremental_strategy_prefix_err0.70_case02_m200,synthetic,0.7000,decremental,500,1983,200,0.1950,39,161,37063.2810,185.3164,221.1350,1.1057,0.0060
graph_synthetic_mode_decremental_strategy_prefix_err0.70_case03_m200,synthetic,0.7000,decremental,500,1983,200,0.3000,60,140,12960.3900,64.8019,132.4960,0.6625,0.0102
graph_synthetic_mode_decremental_strategy_prefix_err1.00_case00_m200,synthetic,1.0000,decremental,500,1983,200,0.0000,0,200,25865.5760,129.3279,157.2780,0.7864,0.0061
graph_synthetic_mode_decremental_strategy_prefix_err1.00_case01_m200,synthetic,1.0000,decremental,500,1983,200,0.0000,0,200,34786.7150,173.9336,219.1520,1.0958,0.0063
graph_synthetic_mode_decremental_strategy_prefix_err1.00_case02_m200,synthetic,1.0000,decremental,500,1983,200,0.0000,0,200,25249.3950,126.2470,263.1760,1.3159,0.0104
graph_synthetic_mode_decremental_strategy_prefix_err1.00_case03_m200,synthetic,1.0000,decremental,500,1983,200,0.0000,0,200,31126.6180,155.6331,183.5420,0.9177,0.0059
graph_synthetic_mode_fullydynamic_strategy_prefix_err0.00_case00_m200,synthetic,0.0000,fullydynamic,500,1983,200,1.0000,200,0,15.1130,0.0756,148.2180,0.7411,9.8073
graph_synthetic_mode_fullydynamic_strategy_prefix_err0.00_case01_m200,synthetic,0.0000,fullydynamic,500,1983,200,1.0000,200,0,18.9970,0.0950,55.2990,0.2765,2.9109
