test_case,graph_name,error_rate,algo,step_j,last_match_i,eta_e,eta_v,eta_v_star
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case01_m200,synthetic,0.1000,decremental,115,93,22,600.0000,2583.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case01_m200,synthetic,0.1000,decremental,116,93,23,600.0000,2583.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case01_m200,synthetic,0.1000,decremental,117,93,24,600.0000,2583.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case01_m200,synthetic,0.1000,decremental,118,93,25,630.0000,2613.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case01_m200,synthetic,0.1000,decremental,119,93,26,630.0000,2613.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case01_m200,synthetic,0.1000,decremental,120,93,27,630.0000,2613.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case01_m200,synthetic,0.1000,decremental,121,93,28,639.0000,7074.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case01_m200,synthetic,0.1000,decremental,122,93,29,637.0000,7072.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case01_m200,synthetic,0.1000,decremental,123,93,30,637.0000,7072.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case01_m200,synthetic,0.1000,decremental,124,93,31,637.0000,7072.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case01_m200,synthetic,0.1000,decremental,125,93,32,636.0000,7071.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case01_m200,synthetic,0.1000,decremental,126,93,33,635.0000,7070.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case01_m200,synthetic,0.1000,decremental,127,93,34,636.0000,7566.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case01_m200,synthetic,0.1000,decremental,128,93,35,644.0000,7576.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case01_m200,synthetic,0.1000,decremental,129,93,36,644.0000,7576.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case01_m200,synthetic,0.1000,decremental,130,93,37,643.0000,7575.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case01_m200,synthetic,0.1000,decremental,131,93,38,641.0000,7578.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case01_m200,synthetic,0.1000,decremental,132,93,39,639.0000,8566.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case01_m200,synthetic,0.1000,decremental,133,93,40,639.0000,8566.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case01_m200,synthetic,0.1000,decremental,134,93,41,643.0000,8570.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case01_m200,synthetic,0.1000,decremental,135,93,42,642.0000,8568.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case01_m200,synthetic,0.1000,decremental,136,93,43,652.0000,8578.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case01_m200,synthetic,0.1000,decremental,137,93,44,652.0000,8578.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case01_m200,synthetic,0.1000,decremental,138,93,45,655.0000,8584.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case01_m200,synthetic,0.1000,decremental,139,93,46,655.0000,8584.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case01_m200,synthetic,0.1000,decremental,140,93,47,655.0000,8584.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case01_m200,synthetic,0.1000,decremental,141,93,48,655.0000,8584.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case01_m200,synthetic,0.1000,decremental,142,93,49,655.0000,8584.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case01_m200,synthetic,0.1000,decremental,143,93,50,655.0000,8584.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case01_m200,synthetic,0.1000,decremental,144,93,51,655.0000,8584.0000
